index,loss rate,depolarizing rate,gate error rate,memory error,measurement error,number of hops,trajectory,experiment,fidelity,total time,fidelity estimation time,fidelity estimated edges,label resource produced,base Bell pairs attempted,distance,XX commute,XX anti-commute,YY commute,YY anti-commute,ZZ commute,ZZ anti-commute
1,0.3,0.025,0.0,0.01,0.0025,2,3,HG-END2ENDPurifiedEncoded,0.8308333333333333,34.8181499998395,34.81464999983953,"Node 0, Node 2",9001,3443359,100,2843,157,2516,484,2626,374
1,0.3,0.025,0.0,0.01,0.0025,2,3,2G-NonLocalCNOT,0.3065,42.51550999978403,42.512443333117425,"Node 0, Node 2",9001,3991339,100,1633,1367,1534,1466,1672,1328
1,0.3,0.025,0.0,0.01,0.0025,2,4,0G,0.6856666666666666,5.303613333337162,5.303360000003825,"Node 0, Node 2",9001,565631,100,2410,590,2297,703,2407,593
1,0.3,0.025,0.0,0.01,0.0025,2,4,E2E-1G-Ss-Dp,0.5853333333333334,35.14148666650359,35.138026666503634,"Node 0, Node 2",9001,3484564,100,2280,720,2080,920,2152,848
1,0.3,0.025,0.0,0.01,0.0025,2,4,1G-Ss-Dp,0.4580000000000001,20.884569999967734,20.88303999996775,"Node 0, Node 2",9001,2169423,100,2013,987,1801,1199,1934,1066
1,0.3,0.025,0.0,0.01,0.0025,2,4,1-2G-DirectedEncoded,0.5218333333333333,20.565113333304144,20.56418333330415,"Node 0, Node 2",9001,2151158,100,2145,855,1916,1084,2070,930
1,0.3,0.025,0.0,0.01,0.0025,2,4,HG-END2ENDPurifiedEncoded,0.8211666666666667,34.54414999984163,34.53272999984176,"Node 0, Node 2",9001,3424514,100,2825,175,2497,503,2605,395
1,0.3,0.025,0.0,0.01,0.0025,2,4,2G-NonLocalCNOT,0.2866666666666666,42.4319066664516,42.42617999978497,"Node 0, Node 2",9001,3988135,100,1583,1417,1491,1509,1646,1354
1,0.3,0.025,0.0,0.01,0.0025,2,5,0G,0.6721666666666667,5.323406666670499,5.322730000003832,"Node 0, Node 2",9001,566358,100,2365,635,2275,725,2393,607
1,0.3,0.025,0.0,0.01,0.0025,2,5,E2E-1G-Ss-Dp,0.5871666666666666,34.626463333174215,34.6212966665076,"Node 0, Node 2",9001,3432380,100,2276,724,2099,901,2148,852
1,0.3,0.025,0.0,0.01,0.0025,2,5,1G-Ss-Dp,0.45166666666666666,20.891179999967793,20.887739999967824,"Node 0, Node 2",9001,2174772,100,1967,1033,1788,1212,1955,1045
1,0.3,0.025,0.0,0.01,0.0025,2,5,1-2G-DirectedEncoded,0.5038333333333334,20.779596666635463,20.776076666635497,"Node 0, Node 2",9001,2158481,100,2076,924,1916,1084,2031,969
1,0.3,0.025,0.0,0.01,0.0025,2,5,HG-END2ENDPurifiedEncoded,0.8235,34.76267666650642,34.758089999839825,"Node 0, Node 2",9001,3443621,100,2807,193,2498,502,2636,364
1,0.3,0.025,0.0,0.01,0.0025,2,5,2G-NonLocalCNOT,0.3028333333333333,42.53584666645019,42.53201333311689,"Node 0, Node 2",9001,3987652,100,1628,1372,1570,1430,1619,1381
1,0.3,0.025,0.0,0.01,0.0025,2,6,0G,0.6806666666666668,5.3888433333372605,5.388166666670593,"Node 0, Node 2",9001,574241,100,2395,605,2266,734,2423,577
1,0.3,0.025,0.0,0.01,0.0025,2,6,E2E-1G-Ss-Dp,0.5846666666666667,34.49642333317568,34.493119999842385,"Node 0, Node 2",9001,3420009,100,2251,749,2096,904,2161,839
1,0.3,0.025,0.0,0.01,0.0025,2,6,1G-Ss-Dp,0.4618333333333333,20.845469999968092,20.844236666634767,"Node 0, Node 2",9001,2174329,100,1995,1005,1828,1172,1948,1052
1,0.3,0.025,0.0,0.01,0.0025,2,6,1-2G-DirectedEncoded,0.5001666666666666,21.083086666632664,21.07814333329938,"Node 0, Node 2",9001,2200518,100,2082,918,1919,1081,2000,1000
1,0.3,0.025,0.0,0.01,0.0025,2,6,HG-END2ENDPurifiedEncoded,0.8331666666666667,34.579866666507876,34.572396666507956,"Node 0, Node 2",9001,3426113,100,2823,177,2526,474,2650,350
1,0.3,0.025,0.0,0.01,0.0025,2,6,2G-NonLocalCNOT,0.30966666666666665,42.22312666645233,42.21831999978566,"Node 0, Node 2",9001,3974647,100,1622,1378,1549,1451,1687,1313
1,0.3,0.025,0.0,0.01,0.0025,2,7,0G,0.6795,5.343753333337204,5.342703333337204,"Node 0, Node 2",9001,569749,100,2391,609,2304,696,2382,618
1,0.3,0.025,0.0,0.01,0.0025,2,7,E2E-1G-Ss-Dp,0.5696666666666667,34.11718333317841,34.115203333178435,"Node 0, Node 2",9001,3385800,100,2234,766,2098,902,2086,914
1,0.3,0.025,0.0,0.01,0.0025,2,7,1G-Ss-Dp,0.4761666666666667,20.570549999970726,20.56937333330407,"Node 0, Node 2",9001,2149737,100,2013,987,1852,1148,1992,1008
1,0.3,0.025,0.0,0.01,0.0025,2,7,1-2G-DirectedEncoded,0.5021666666666667,20.744806666635846,20.74054999996922,"Node 0, Node 2",9001,2163654,100,2077,923,1890,1110,2046,954
1,0.3,0.025,0.0,0.01,0.0025,2,7,HG-END2ENDPurifiedEncoded,0.8206666666666667,34.84089333317257,34.83899999983924,"Node 0, Node 2",9001,3446679,100,2791,209,2518,482,2615,385
1,0.3,0.025,0.0,0.01,0.0025,2,7,2G-NonLocalCNOT,0.3275,42.21658333312055,42.21039666645394,"Node 0, Node 2",9001,3979741,100,1704,1296,1594,1406,1667,1333
1,0.3,0.025,0.0,0.01,0.0025,2,8,0G,0.6723333333333333,5.4010766666706145,5.399440000003945,"Node 0, Node 2",9001,573913,100,2397,603,2274,726,2363,637
1,0.3,0.025,0.0,0.01,0.0025,2,8,E2E-1G-Ss-Dp,0.5816666666666667,35.03832666650388,35.03520999983726,"Node 0, Node 2",9001,3468673,100,2252,748,2114,886,2124,876
1,0.3,0.025,0.0,0.01,0.0025,2,8,1G-Ss-Dp,0.4668333333333333,20.89291333330099,20.88950999996769,"Node 0, Node 2",9001,2177048,100,2012,988,1788,1212,2001,999
1,0.3,0.025,0.0,0.01,0.0025,2,8,1-2G-DirectedEncoded,0.49149999999999994,21.116359999965518,21.115683333298858,"Node 0, Node 2",9001,2197387,100,2042,958,1892,1108,2015,985
1,0.3,0.025,0.0,0.01,0.0025,2,8,HG-END2ENDPurifiedEncoded,0.8248333333333333,34.81183333317288,34.81050999983956,"Node 0, Node 2",9001,3448673,100,2797,203,2526,474,2626,374
1,0.3,0.025,0.0,0.01,0.0025,2,8,2G-NonLocalCNOT,0.30366666666666664,42.13782666645434,42.134893333121,"Node 0, Node 2",9001,3963184,100,1664,1336,1503,1497,1655,1345
1,0.3,0.025,0.0,0.01,0.0025,2,9,0G,0.6668333333333333,5.344363333337207,5.343536666670546,"Node 0, Node 2",9001,566987,100,2381,619,2253,747,2367,633
1,0.3,0.025,0.0,0.01,0.0025,2,9,E2E-1G-Ss-Dp,0.5916666666666667,34.72856666650666,34.72142999984007,"Node 0, Node 2",9001,3442667,100,2284,716,2099,901,2167,833
1,0.3,0.025,0.0,0.01,0.0025,2,9,1G-Ss-Dp,0.44833333333333336,21.082846666632495,21.082286666632502,"Node 0, Node 2",9001,2196361,100,1900,1100,1801,1199,1989,1011
1,0.3,0.025,0.0,0.01,0.0025,2,9,1-2G-DirectedEncoded,0.49333333333333335,20.85110999996818,20.846206666634895,"Node 0, Node 2",9001,2175983,100,2073,927,1881,1119,2006,994
1,0.3,0.025,0.0,0.01,0.0025,2,9,HG-END2ENDPurifiedEncoded,0.8295,35.12944999983665,35.120203333170046,"Node 0, Node 2",9001,3475039,100,2800,200,2535,465,2642,358
1,0.3,0.025,0.0,0.01,0.0025,2,9,2G-NonLocalCNOT,0.3165,42.34363999978521,42.34058999978522,"Node 0, Node 2",9001,3982775,100,1660,1340,1541,1459,1698,1302
2,0.3,0.025,0.0,0.01,0.005,2,0,0G,0.6743333333333335,5.373223333337244,5.372690000003918,"Node 0, Node 2",9001,570599,100,2387,613,2272,728,2387,613
2,0.3,0.025,0.0,0.01,0.005,2,0,E2E-1G-Ss-Dp,0.5803333333333334,34.87358666650561,34.86387999983902,"Node 0, Node 2",9001,3459177,100,2225,775,2072,928,2185,815
2,0.3,0.025,0.0,0.01,0.005,2,0,1G-Ss-Dp,0.4558333333333333,21.007143333299947,21.005593333299963,"Node 0, Node 2",9001,2195445,100,2005,995,1814,1186,1916,1084
