,depolarizing rate,fidelity,trajectory,result
249,0.9,0.24683333333333335,1,Simulated
250,0.9500000000000001,0.26683333333333337,1,Simulated
251,1.0,0.24,1,Simulated
252,0.0,1.0,2,Simulated
253,0.05,0.917,2,Simulated
254,0.1,0.8125,2,Simulated
255,0.15000000000000002,0.6866666666666666,2,Simulated
256,0.2,0.5673333333333334,2,Simulated
257,0.25,0.447,2,Simulated
258,0.30000000000000004,0.362,2,Simulated
259,0.35000000000000003,0.29966666666666664,2,Simulated
260,0.4,0.2701666666666667,2,Simulated
261,0.45,0.2608333333333333,2,Simulated
262,0.5,0.24466666666666667,2,Simulated
263,0.55,0.24466666666666667,2,Simulated
264,0.6000000000000001,0.23983333333333334,2,Simulated
265,0.65,0.25816666666666666,2,Simulated
266,0.7000000000000001,0.24983333333333332,2,Simulated
267,0.75,0.252,2,Simulated
268,0.8,0.24166666666666667,2,Simulated
269,0.8500000000000001,0.24200000000000002,2,Simulated
270,0.9,0.2531666666666667,2,Simulated
271,0.9500000000000001,0.2505,2,Simulated
272,1.0,0.2755,2,Simulated
273,0.0,1.0,3,Simulated
274,0.05,0.929,3,Simulated
275,0.1,0.8145000000000001,3,Simulated
276,0.15000000000000002,0.6916666666666668,3,Simulated
277,0.2,0.5661666666666666,3,Simulated
278,0.25,0.4415,3,Simulated
279,0.30000000000000004,0.37833333333333335,3,Simulated
